"""siteid""","""sitename""","""county""","""itemid""","""itemname""","""itemengname""","""itemunit""","""monitordate""","""concentration"""
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-01 09:00",41.7
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-01 09:00",9
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-01 09:00",25
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-01 09:00",1
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-01 10:00",9
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-01 10:00",42.4
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-01 10:00",x
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-01 10:00",x
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-01 10:00",x
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-01 10:00",x
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-01 11:00",0.1
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-01 11:00",x
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-01 11:00",0.23
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-01 11:00",x
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-01 11:00",x
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-01 11:00",28
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-01 12:00",x
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-01 12:00",0.2
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-01 12:00",0.21
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-01 12:00",33
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-01 12:00",x
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-01 12:00",x
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-01 13:00",27
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-01 13:00",x
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-01 13:00",x
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-01 13:00",9
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-01 13:00",x
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-01 13:00",x
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-01 14:00",x
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-01 14:00",37
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-01 14:00",12
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-01 14:00",x
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-01 14:00",x
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-01 14:00",x
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-01 15:00",x
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-01 15:00",0.22
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-01 15:00",15
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-01 15:00",32
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-01 15:00",6.3
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-01 15:00",0.4
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-01 16:00",x
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-01 16:00",47.7
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-01 16:00",x
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-01 16:00",36
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-01 16:00",x
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-01 16:00",14
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-01 17:00",10.9
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-01 17:00",x
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-01 17:00",0.4
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-01 17:00",0.28
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-01 17:00",33
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-01 17:00",9
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-01 18:00",x
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-01 18:00",12
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-01 18:00",30
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-01 18:00",0.28
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-01 18:00",9.4
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-01 18:00",0.5
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-01 19:00",12
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-01 19:00",x
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-01 19:00",8.8
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-01 19:00",0.7
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-01 19:00",35
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-01 19:00",0.23
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-01 20:00",0.7
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-01 20:00",5.9
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-01 20:00",41
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-01 20:00",0.21
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-01 20:00",10
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-01 20:00",x
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-01 21:00",45
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-01 21:00",6.7
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-01 21:00",10
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-01 21:00",0.21
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-01 21:00",55.3
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-01 21:00",0.9
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-01 22:00",53.9
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-01 22:00",0.2
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-01 22:00",25
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-01 22:00",13
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-01 22:00",0.6
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-01 22:00",5.6
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-01 23:00",13
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-01 23:00",26
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-01 23:00",50.6
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-01 23:00",6.7
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-01 23:00",0.5
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-01 23:00",0.19
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-02 00:00",11
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-02 00:00",5.3
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-02 00:00",0.18
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-02 00:00",22
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-02 00:00",0.4
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-02 00:00",52
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-02 01:00",0.2
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-02 01:00",0.6
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-02 01:00",32
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-02 01:00",7.7
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-02 01:00",16
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-02 01:00",48.4
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-02 02:00",47.5
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-02 02:00",6.9
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-02 02:00",25
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-02 02:00",0.2
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-02 02:00",15
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-02 02:00",0.5
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-02 03:00",0.7
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-02 03:00",0.21
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-02 03:00",32
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-02 03:00",12
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-02 03:00",6.7
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-02 03:00",45.8
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-02 11:00",23
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-02 11:00",x
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-02 11:00",13
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-02 11:00",x
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-02 11:00",x
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-02 11:00",x
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-02 12:00",45
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-02 12:00",0.24
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-02 12:00",22
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-02 12:00",0.7
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-02 12:00",x
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-02 12:00",10
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-02 13:00",31
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-02 13:00",0.7
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-02 13:00",44.9
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-02 13:00",0.23
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-02 13:00",13
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-02 13:00",x
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-02 14:00",x
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-02 14:00",0.6
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-02 14:00",33
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-02 14:00",x
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-02 14:00",14
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-02 14:00",0.21
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-02 15:00",28
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-02 15:00",0.21
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-02 15:00",46.9
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-02 15:00",9
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-02 15:00",0.4
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-02 15:00",6.4
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-02 16:00",10
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-02 16:00",44.6
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-02 16:00",25
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-02 16:00",6.9
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-02 16:00",0.5
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-02 16:00",0.21
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-02 17:00",19
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-02 17:00",0.23
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-02 17:00",6
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-02 17:00",46.9
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-02 17:00",6.5
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-02 17:00",0.5
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-02 18:00",45.2
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-02 18:00",0.23
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-02 18:00",6
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-02 18:00",x
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-02 18:00",21
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-02 18:00",0.7
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-02 19:00",0.23
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-02 19:00",0.6
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-02 19:00",15
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-02 19:00",10
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-02 19:00",x
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-02 19:00",45.1
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-02 20:00",0.6
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-02 20:00",42.2
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-02 20:00",6
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-02 20:00",20
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-02 20:00",6.1
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-02 20:00",0.23
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-02 21:00",0.7
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-02 21:00",23
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-02 21:00",7
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-02 21:00",0.22
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-02 21:00",38.5
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-02 21:00",6.8
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-02 22:00",0.21
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-02 22:00",5.9
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-02 22:00",35.8
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-02 22:00",11
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-02 22:00",0.5
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-02 22:00",5
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-02 23:00",0.4
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-02 23:00",15
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-02 23:00",4.8
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-02 23:00",0.19
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-02 23:00",6
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-02 23:00",35.4
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-03 00:00",8
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-03 00:00",0.6
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-03 00:00",0.17
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-03 00:00",7
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-03 00:00",4.8
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-03 00:00",28.8
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-03 01:00",7.7
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-03 01:00",0
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-03 01:00",26
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-03 01:00",0.16
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-03 01:00",6
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-03 01:00",2
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-03 02:00",26.5
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-03 02:00",0
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-03 02:00",0
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-03 02:00",3
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-03 02:00",5
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-03 02:00",0.12
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-03 03:00",0.1
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-03 03:00",4
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-03 03:00",4.7
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-03 03:00",4
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-03 03:00",24.9
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-03 03:00",0.13
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-03 04:00",0.13
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-03 04:00",25.3
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-03 04:00",0.4
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-03 04:00",4
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-03 04:00",4.2
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-03 04:00",5
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-03 05:00",0.3
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-03 05:00",4.3
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-03 05:00",11
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-03 05:00",26.5
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-03 05:00",2
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-03 05:00",0.14
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-03 06:00",0.4
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-03 06:00",0.16
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-03 06:00",21.7
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-03 06:00",3
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-03 06:00",12
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-03 06:00",6.7
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-03 07:00",24.1
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-03 07:00",0.18
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-03 07:00",3
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-03 07:00",0.4
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-03 07:00",5.8
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-03 07:00",14
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-03 08:00",25.9
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-03 08:00",0.4
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-03 08:00",0.16
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-03 08:00",6
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-03 08:00",4.5
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-03 08:00",21
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-03 09:00",0.17
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-03 09:00",0.3
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-03 09:00",4.6
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-03 09:00",7
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-03 09:00",17
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-03 09:00",27
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-03 10:00",0.17
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-09-03 10:00",4.7
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-03 10:00",31.2
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-03 10:00",0.2
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-03 10:00",6
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-03 10:00",20
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-09-03 11:00",0.2
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-09-03 11:00",34.6
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-09-03 11:00",23
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-09-03 11:00",0.17
