"""siteid""","""sitename""","""county""","""itemid""","""itemname""","""itemengname""","""itemunit""","""monitordate""","""concentration"""
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-01 04:00:00",1.8
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-01 04:00:00",0.25
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-01 04:00:00",29.8
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-01 04:00:00",13
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-01 04:00:00",8.7
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-01 04:00:00",10
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-01 05:00:00",2.4
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-01 05:00:00",0.28
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-01 05:00:00",26.3
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-01 05:00:00",14
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-01 05:00:00",11
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-01 05:00:00",9
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-01 06:00:00",2.3
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-01 06:00:00",0.28
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-01 06:00:00",24.4
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-01 06:00:00",14
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-01 06:00:00",12.4
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-01 06:00:00",11
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-01 07:00:00",3
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-01 07:00:00",0.33
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-01 07:00:00",20.8
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-01 07:00:00",12
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-01 07:00:00",16.1
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-01 07:00:00",12
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-01 08:00:00",2.1
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-01 08:00:00",0.33
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-01 08:00:00",22.6
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-01 08:00:00",18
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-01 08:00:00",13.1
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-01 08:00:00",11
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-01 09:00:00",2.6
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-01 09:00:00",0.33
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-01 09:00:00",24.4
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-01 09:00:00",21
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-01 09:00:00",13.4
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-01 09:00:00",17
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-01 10:00:00",2.6
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-01 10:00:00",0.34
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-01 10:00:00",30.6
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-01 10:00:00",25
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-01 10:00:00",12.9
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-01 10:00:00",16
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-01 11:00:00",2.1
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-01 11:00:00",0.31
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-01 11:00:00",36.3
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-01 11:00:00",33
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-01 11:00:00",9.1
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-01 11:00:00",15
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-01 12:00:00",1.8
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-01 12:00:00",0.26
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-01 12:00:00",38.5
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-01 12:00:00",21
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-01 12:00:00",6.8
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-01 12:00:00",11
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-01 13:00:00",2
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-01 13:00:00",0.26
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-01 13:00:00",41.2
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-01 13:00:00",24
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-01 13:00:00",7.4
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-01 13:00:00",12
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-01 14:00:00",2.1
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-01 14:00:00",0.25
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-01 14:00:00",39.9
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-01 14:00:00",23
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-01 14:00:00",8.1
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-01 14:00:00",13
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-01 15:00:00",1.7
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-01 15:00:00",0.24
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-01 15:00:00",36.4
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-01 15:00:00",22
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-01 15:00:00",7.5
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-01 15:00:00",12
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-01 16:00:00",1.6
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-01 16:00:00",0.28
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-01 16:00:00",31.2
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-01 16:00:00",16
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-01 16:00:00",11.2
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-01 16:00:00",11
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-01 17:00:00",2
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-01 17:00:00",0.28
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-01 17:00:00",30.7
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-01 17:00:00",22
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-01 17:00:00",12
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-01 17:00:00",13
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-01 18:00:00",1.7
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-01 18:00:00",0.28
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-01 18:00:00",30.8
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-01 18:00:00",16
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-01 18:00:00",11.2
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-01 18:00:00",12
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-01 19:00:00",1.4
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-01 19:00:00",0.28
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-01 19:00:00",30.2
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-01 19:00:00",16
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-01 19:00:00",11
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-01 19:00:00",8
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-01 20:00:00",1.5
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-01 20:00:00",0.23
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-01 20:00:00",29.8
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-01 20:00:00",13
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-01 20:00:00",10.6
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-01 20:00:00",8
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-01 21:00:00",1.5
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-01 21:00:00",0.28
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-01 21:00:00",26.7
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-01 21:00:00",14
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-01 21:00:00",11.8
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-01 21:00:00",10
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-01 22:00:00",1.8
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-01 22:00:00",0.28
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-01 22:00:00",27.4
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-01 22:00:00",16
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-01 22:00:00",12
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-01 22:00:00",8
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-01 23:00:00",2
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-01 23:00:00",0.26
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-01 23:00:00",22.8
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-01 23:00:00",14
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-01 23:00:00",11.8
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-01 23:00:00",9
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-02 00:00:00",1.6
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-02 00:00:00",0.34
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-02 00:00:00",18
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-02 00:00:00",17
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-02 00:00:00",14.9
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-02 00:00:00",15
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-02 01:00:00",4
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-02 01:00:00",0.31
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-02 01:00:00",11.3
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-02 01:00:00",15
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-02 01:00:00",23.6
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-02 01:00:00",12
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-02 02:00:00",1.8
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-02 02:00:00",0.32
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-02 02:00:00",15.7
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-02 02:00:00",20
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-02 02:00:00",18.3
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-02 02:00:00",10
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-02 03:00:00",1.7
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-02 03:00:00",0.25
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-02 03:00:00",19
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-02 03:00:00",18
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-02 03:00:00",14
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-02 03:00:00",11
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-02 04:00:00",1.1
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-02 04:00:00",0.24
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-02 04:00:00",20.2
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-02 04:00:00",10
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-02 04:00:00",8.2
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-02 04:00:00",11
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-02 05:00:00",1.4
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-02 05:00:00",0.24
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-02 05:00:00",20.4
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-02 05:00:00",11
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-02 05:00:00",8.2
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-02 05:00:00",9
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-02 06:00:00",1.1
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-02 06:00:00",0.26
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-02 06:00:00",19.1
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-02 06:00:00",12
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-02 06:00:00",8.3
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-02 06:00:00",9
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-02 07:00:00",1.1
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-02 07:00:00",0.34
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-02 07:00:00",13.2
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-02 07:00:00",19
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-02 07:00:00",12.9
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-02 07:00:00",10
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-02 08:00:00",2.4
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-02 08:00:00",0.31
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-02 08:00:00",21.3
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-02 08:00:00",16
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-02 08:00:00",15
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-02 08:00:00",11
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-02 09:00:00",1.2
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-02 09:00:00",0.27
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-02 09:00:00",33.9
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-02 09:00:00",14
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-02 09:00:00",7.8
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-02 09:00:00",10
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-02 10:00:00",1
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-02 10:00:00",0.28
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-02 10:00:00",35.8
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-02 10:00:00",17
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-02 10:00:00",7.6
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-02 10:00:00",6
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-02 11:00:00",1.3
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-02 11:00:00",0.28
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-02 11:00:00",37.8
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-02 11:00:00",18
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-02 11:00:00",6.8
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-02 11:00:00",13
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-02 12:00:00",1.5
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-02 12:00:00",0.26
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-02 12:00:00",40.1
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-02 12:00:00",20
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-02 12:00:00",6.2
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-02 12:00:00",9
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-02 13:00:00",1.7
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-02 13:00:00",0.27
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-02 13:00:00",41.3
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-02 13:00:00",29
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-02 13:00:00",6.1
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-02 13:00:00",14
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-02 14:00:00",1.7
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-02 14:00:00",0.3
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-02 14:00:00",41.9
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-02 14:00:00",29
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-02 14:00:00",7.5
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-02 14:00:00",20
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-02 15:00:00",1.3
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-02 15:00:00",0.31
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-02 15:00:00",42.5
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-02 15:00:00",33
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-02 15:00:00",7.5
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-02 15:00:00",18
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-02 16:00:00",1.4
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-02 16:00:00",0.32
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-02 16:00:00",40.5
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-02 16:00:00",30
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-02 16:00:00",8.6
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-02 16:00:00",19
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-02 17:00:00",1
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-02 17:00:00",0.35
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-02 17:00:00",37.6
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-02 17:00:00",37
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-02 17:00:00",10.4
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-02 17:00:00",18
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-02 18:00:00",0.8
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-02 18:00:00",0.35
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-02 18:00:00",36.5
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-02 18:00:00",36
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-02 18:00:00",11.8
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-02 18:00:00",21
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-02 19:00:00",0.8
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-02 19:00:00",0.32
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-02 19:00:00",41.2
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-02 19:00:00",30
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-02 19:00:00",10.9
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-02 19:00:00",18
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-02 20:00:00",0.8
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-02 20:00:00",0.32
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-02 20:00:00",44.2
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-02 20:00:00",30
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-02 20:00:00",10.4
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-02 20:00:00",19
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-02 21:00:00",0.9
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-02 21:00:00",0.36
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-02 21:00:00",44.9
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-02 21:00:00",32
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-02 21:00:00",11.1
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-02 21:00:00",19
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-02 22:00:00",1
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-02 22:00:00",0.36
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-02 22:00:00",47.4
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-02 22:00:00",40
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-02 22:00:00",10.6
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-02 22:00:00",21
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-02 23:00:00",1.1
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-02 23:00:00",0.36
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-02 23:00:00",49.3
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-02 23:00:00",35
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-02 23:00:00",9.6
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-02 23:00:00",24
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-03 00:00:00",0.9
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-03 00:00:00",0.36
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-03 00:00:00",52.5
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-03 00:00:00",35
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-03 00:00:00",8.3
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-03 00:00:00",27
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-03 01:00:00",1.5
24,新竹,新竹市,2,一氧化碳,CO,ppm,"2022-01-03 01:00:00",0.37
24,新竹,新竹市,3,臭氧,O3,ppb,"2022-01-03 01:00:00",53.2
24,新竹,新竹市,4,懸浮微粒,PM10,μg/m3,"2022-01-03 01:00:00",47
24,新竹,新竹市,7,二氧化氮,NO2,ppb,"2022-01-03 01:00:00",10.8
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,"2022-01-03 01:00:00",27
24,新竹,新竹市,1,二氧化硫,SO2,ppb,"2022-01-03 02:00:00",1.5
